fingerprint_id,endpoint_or_report,call_path,model_collection,operation,filter_fields,sort_fields,projection,limit,lean,transaction_session,execution_mode,expected_frequency_per_request,current_index_evidence,index_candidate,correctness_risk,source_file_lines,notes
Q-ORD-004,GET /api/new/delivery-today/orders,listOrders -> loadLatestVersionsForOrders,DeliveryCloseoutVersion / deliveryCloseoutVersions,find,$or 6 identity fields + status,"closeoutVersion:-1,sourceVersion:-1,updatedAt:-1,createdAt:-1",delivery-closeout-version-hot-path-v1,Không khai báo; chọn latest trong JS,Có,Không,Song song,1,Không nằm trong main managed registry; script rời không bao phủ đầy đủ identity+sort,"{canonicalOrderKey:1,status:1,closeoutVersion:-1,sourceVersion:-1,updatedAt:-1}",Cao: latest eligible version,src/services/v2/deliveryTodayNew.service.js:499-535; scripts/create-delivery-closeout-correction-indexes.js:20-24,Query count cố định nhưng volume tăng theo số version lịch sử.
Q-ORD-005,GET /api/new/delivery-today/orders,listOrders -> loadAllocationsForOrders,OrderPaymentAllocation / orderPaymentAllocations,find,"$or(orderId,orderCode,sourceId,sourceCode) + status","sourceVersion:-1,postedAt:-1,createdAt:-1",order-payment-allocation-hot-path-v1,5000,Có,Không,Song song,1,Có orderId/orderCode/sourceId/sourceCode indexes riêng; không compound với status/sort,"{canonicalOrderKey:1,status:1,sourceVersion:-1,postedAt:-1}",P0: version mismatch/stale allocation/zero-value semantics,src/services/v2/deliveryTodayNew.service.js:593-631; src/services/mongoIndexService.js:125-134,Hard cap 5000 có rủi ro bỏ candidate nếu scope lớn hoặc history dày.
Q-SUG-001,GET /api/new/delivery-today/suggestions,suggestions -> orderCustomerSuggestionItems,SalesOrder / salesOrders,find,date/staff scope + case-insensitive regex trên nhiều code/name/phone/address fields,"deliveryDate:-1,orderDate:-1,createdAt:-1",Suggestion fields,50-100,Có,Không,Một query rồi JS de-duplicate/filter,1,B-tree indexes hiện có không phục vụ tốt regex substring không neo,normalizedSearchTokens/prefix fields hoặc Atlas Search; tối thiểu regex neo đầu trên canonical lowercase code/name,Trung bình: search behavior/diacritics/legacy aliases,src/services/v2/deliveryTodayNew.service.js:1170-1249; src/services/delivery/deliveryTodayCanonicalOrderReader.js:118-144,Mục tiêu 200-400ms khó đạt ổn định bằng regex rộng.
Q-SUG-002,GET /api/new/delivery-today/suggestions,suggestions -> searchService.searchStaffs -> searchRepository.findStaffs,User/Staff,find,role/isActive + search keyword aliases,Repository-defined,Staff suggestion fields,20-50,Có,Không,Tùy suggestion type,0-1,"users có {role,isActive,staffCode}; Staff có unique code/username","{role:1,isActive:1,normalizedName:1,staffCode:1}",Thấp-trung bình,src/services/searchService.js:365-370; src/services/mongoIndexService.js:24-33,Có guard keyword tối thiểu 2 ký tự.
Q-DASH-S-001,GET /api/dashboard/sales-staff,controller -> HomeDashboardService.getSalesStaffDashboard -> DashboardDailyStatsService,DashboardDailyStat / dashboardDailyStats,find,date range,date:1,"sales,delivery,cash,returns,staff,dataQuality,source timestamps","Số ngày trong kỳ, cap logic 370",Có,Không,Read-model first,1 cache miss,"Unique date + month,date indexes",Hiện tại phù hợp; thêm tenantId nếu multi-tenant thật,Trung bình: chỉ thiếu 1 ngày sẽ fallback toàn bộ live query,src/services/dashboard/DashboardDailyStatsService.js:72-97; src/services/mongoIndexService.js:525-529,Read model có khả năng đạt ≤500ms nếu complete.
Q-DASH-S-002,GET /api/dashboard/sales-staff,getSalesStaffDashboard -> SalesTarget query,SalesTarget / salesTargets,find,"period,status/staff scope",salesStaffName,Target fields,Không rõ,Có,Không,Trước/đồng hành read model,1 cache miss,Unique period+salesStaffCode; period+status+salesStaffName,Hiện tại phù hợp,Thấp,src/services/dashboard/HomeDashboardService.js:597-698; src/services/mongoIndexService.js:30-33,
Q-DASH-S-003,GET /api/dashboard/sales-staff,getSalesStaffDashboard fallback-live-query,User + SalesOrder + ReturnOrder + ArLedger,find + 4-5 aggregate,"active staff, month/date/staff/status/debt policy",Aggregation-specific,Dashboard summary,N/A,User find có,Không,6 Promise.all branches,1 bundle khi read model incomplete,Có nhiều managed indexes nhưng date normalization pipelines/regex làm giảm hiệu quả,"Ưu tiên read model completeness, không chỉ thêm index",Cao: dashboard phải parity 100% với canonical financial rules,"src/services/dashboard/HomeDashboardService.js:597-698; src/services/dashboard/SalesDashboardQuery.js:728,933",Nguồn phù hợp với latency 2.4-4s khi fallback.
Q-DASH-D-001,GET /api/dashboard/delivery-summary,getDeliveryDashboard -> DashboardDailyStatsService,DashboardDailyStat / dashboardDailyStats,find,date range,date:1,Delivery/read-model fields,Số ngày,Có,Không,Read-model first,1 cache miss,"Unique date + month,date",Hiện tại phù hợp,Trung bình,src/services/dashboard/HomeDashboardService.js:700-776; src/services/dashboard/DashboardDailyStatsService.js:72-97,
Q-DASH-D-002,GET /api/dashboard/delivery-summary,fallback -> DeliveryDashboardQuery.aggregateDeliveryMonth,MasterOrder / masterOrders,aggregate,delivery date/status/staff,Pipeline-defined,Master delivery summary + child refs,N/A,Aggregate,Không,Song song với 4 nhánh khác,1 fallback,deliveryDate+deliveryStaffCode+status,Canonical deliveryDateKey + staff/status,Trung bình-cao,src/services/dashboard/DeliveryDashboardQuery.js:190-259; src/services/mongoIndexService.js:57-67,Sau aggregate master còn query SalesOrder children.
Q-DASH-D-003,GET /api/dashboard/delivery-summary,aggregateDeliveryMonth -> child sales orders,SalesOrder / salesOrders,find,$or trên child id/code/master aliases,,Delivery child summary,Không khai báo,Có,Không,Sau master aggregate,1 fallback,Có masterOrderId/masterOrderCode/deliveryMasterId/deliveryMasterCode compound indexes với date/staff/status,Canonical masterOrderKey hoặc child mapping read model,Trung bình,src/services/dashboard/DeliveryDashboardQuery.js:241-283; src/services/mongoIndexService.js:50-54,"Batch query, không N+1."
Q-CACHE-001,Dashboard cache strict freshness,DashboardCacheService.freshnessVersion,"SalesOrder,ReturnOrder,ArLedger,MasterOrder,User,SalesTarget,Product",7 x findOne,{},"updatedAt:-1,createdAt:-1,_id:-1","updatedAt,createdAt,_id",1 mỗi collection,Có,Không,Song song trước mỗi cache read khi strict=true,7,"Một số collection có createdAt, không đảm bảo compound sort updatedAt+createdAt+_id",Không dùng 7 query làm cache version; dùng monotonic version/event counter/shared cache invalidation,Trung bình,src/services/dashboard/DashboardCacheService.js:25-45,Strict freshness có thể triệt tiêu lợi ích cache.
Q-REP-INV-001,Inventory reports / Report Center inventory,InventoryReportService.loadProducts,Product / products,find,{},,PRODUCT_PROJECTION,Không có,Có,Không,Trước/đồng hành ledger aggregate,1,Không liên quan vì full scan,Không giải quyết bằng index; projection cache/product read model,Thấp-trung bình,"src/services/reports/InventoryReportService.js:88,148-162",Tải toàn bộ catalog sản phẩm.
Q-REP-INV-002,Inventory movement/current stock,InventoryReportService -> StockTransaction.aggregate,StockTransaction / stockTransactions,aggregate allowDiskUse,date/product/warehouse/source/status,Pipeline-defined,Ledger totals,Không có khi full/export,Aggregate,Không,Có thể chạy song song trong data-quality,1-2,"Có date+product+warehouse, product+date, ref/source indexes","{warehouseCode:1,date:1,productCode:1} theo explain thực tế",Cao: inventory ledger SSoT,src/services/reports/InventoryReportService.js:148-162; src/services/mongoIndexService.js:335-340,
Q-REP-SALES-001,Sales reports / Report Center sales,SalesReportService -> Product.find + SalesOrder.aggregate,Product + SalesOrder,find all + aggregate,confirmed/order date/staff/customer/product/status,Report-specific,Full product map + sales rows,Thường sau JS aggregation/pagination,Product có,Không,"Batch, sau đó JS valuation/filter",1+1,SalesOrder có date/staff/status indexes nhưng business-date normalization pipeline làm giảm indexability,Canonical businessDateKey + status/staff; product valuation read model,"Cao: giá trước/sau KM, return, AR parity","src/services/reports/SalesReportService.js:87,172,294","Report Center gọi `full=1,export=1` ở một số mẫu."
Q-REP-DEL-001,Delivery reports,DeliveryReportService -> MasterOrder.aggregate -> SalesOrder.aggregate/find -> FundLedger.find,"MasterOrder,SalesOrder,FundLedger",2-3 aggregates/find,date/staff/master-child refs/fund source refs/status,Report-specific,Trip/order/payment summary,Thường pagination sau assemble,FundLedger có,Không,Batch queries + JS join,3-4,Managed date/staff/master refs và fund source/date indexes,Delivery trip reporting projection keyed date+staff,Cao: snapshot mismatch/missing children/payment totals,"src/services/reports/DeliveryReportService.js:38,64,72,111",
Q-REP-RET-001,Return reports,ReturnReportService -> ReturnOrder.aggregate -> AR credit batch lookup,ReturnOrder + ArLedger,aggregate + find,return date/status/order identity + AR return categories,Report-specific,Return detail and financial posting,Sau assemble,AR reader-level,Không,Batch,2,Return indexes extensive; AR source/category indexes exist,canonicalReturnKey/sourceKey compounds theo explain,P0: returnOrders SSoT và không double credit,"src/services/reports/ReturnReportService.js:29-60; src/services/mongoIndexService.js:79-103,147-157",
Q-REP-FIN-001,Finance reports,FinanceReportService -> canonical FundLedger reader,FundLedger / fundLedgers,find/aggregate,"date,status,isDeleted,fundType,direction,account/source",date/createdAt,Financial ledger fields,Report-dependent,Có,Không,Batch rồi JS summarize,1+,"Có date+fundType+direction, source guards, dashboard cash today, delivery report indexes","{status:1,isDeleted:1,date:1,fundType:1,direction:1}",Cao: fundLedgers SSoT,src/services/reports/FinanceReportService.js; src/services/mongoIndexService.js:270-285,
Q-RC-001,GET /api/reports/run/data-quality,ReportCenterService.run(data-quality),"SalesOrder,Product,StockTransaction,MasterOrder,FundLedger,ReturnOrder,ArLedger",4 full report pipelines,Shared base date/search/staff filters,Mỗi report riêng,Full/export datasets,Không có ở source services; pagination sau dataQualityRows,Mixed,Không,4 Promise.all report branches,Một request fan-out thành nhiều query/aggregate nặng,Nhiều index riêng nhưng không giảm được full report fan-out,Data-quality projection/materialized anomaly table; admission control,Cao: phải parity 100% với từng domain report,src/services/reports/ReportCenterService.js:888-903,Nguy cơ CPU/RAM/DB spike dù latency từng nhánh chạy song song.
Q-RC-002,GET /api/reports/overview,ReportCenterService.overview -> DashboardReportService.dashboardReport,Nhiều domain collections,dashboard fan-out,Date range,Domain-specific,Dashboard cards/alerts,N/A,Mixed,Không,Một dashboard report tổng hợp,1 orchestrator,Không dùng trực tiếp HomeDashboard read model/cache theo call graph,Reuse reporting snapshot/dashboardDailyStats có version contract,Cao: cards/alerts phải đồng nhất report domain,src/services/reports/ReportCenterService.js:914-953; src/services/reports/DashboardReportService.js,
